Datum;Start;Ende;Titel;Beschreibung;Jeden;Tag;Arbeitszeit;Kunde
01.09.16;08:00;16:50;Arbeitszeit;;0;1;3560f864deb108ab18e22d896b0ac4cb
02.09.16;08:00;16:55;Arbeitszeit;;0;1;3560f864deb108ab18e22d896b0ac4cb
05.09.16;08:00;16:49;Arbeitszeit;;0;1;3560f864deb108ab18e22d896b0ac4cb
06.09.16;08:00;16:58;Arbeitszeit;;0;1;3560f864deb108ab18e22d896b0ac4cb
07.09.16;08:00;16:58;Arbeitszeit;;0;1;3560f864deb108ab18e22d896b0ac4cb
08.09.16;08:00;16:50;Arbeitszeit;;0;1;3560f864deb108ab18e22d896b0ac4cb
09.09.16;08:00;16:55;Arbeitszeit;;0;1;3560f864deb108ab18e22d896b0ac4cb
12.09.16;08:00;16:50;Arbeitszeit;;0;1;3560f864deb108ab18e22d896b0ac4cb
13.09.16;08:00;16:39;Arbeitszeit;;0;1;3560f864deb108ab18e22d896b0ac4cb
14.09.16;08:00;16:48;Arbeitszeit;;0;1;3560f864deb108ab18e22d896b0ac4cb
15.09.16;08:00;15:30;Arbeitszeit;;0;1;3560f864deb108ab18e22d896b0ac4cb
16.09.16;08:00;16:42;Arbeitszeit;;0;1;3560f864deb108ab18e22d896b0ac4cb
19.09.16;07:57;13:55;Arbeitszeit;;0;1;3560f864deb108ab18e22d896b0ac4cb
20.09.16;07:57;16:52;Arbeitszeit;;0;1;3560f864deb108ab18e22d896b0ac4cb
21.09.16;07:52;16:54;Arbeitszeit;;0;1;3560f864deb108ab18e22d896b0ac4cb
22.09.16;07:59;16:49;Arbeitszeit;;0;1;3560f864deb108ab18e22d896b0ac4cb
23.09.16;07:50;16:40;Arbeitszeit;;0;1;3560f864deb108ab18e22d896b0ac4cb
26.09.16;07:52;15:29;Arbeitszeit;;0;1;3560f864deb108ab18e22d896b0ac4cb
27.09.16;07:53;16:56;Arbeitszeit;;0;1;3560f864deb108ab18e22d896b0ac4cb
28.09.16;07:54;16:54;Arbeitszeit;;0;1;3560f864deb108ab18e22d896b0ac4cb
29.09.16;07:54;16:42;Arbeitszeit;;0;1;3560f864deb108ab18e22d896b0ac4cb
