Facebook-Informationen
Facebook Ireland Limited,"4 Grand Canal Square, Grand Canal Harbour","Dublin 2, Ireland",VAT Reg. No. IE9692928F

Informationen über Werbetreibende
,,Auf der Horst 32,"Senden, NRW 48308",Germany,Originalrechnung

Abrechnungsbericht: 01.01.2020 - 01.01.2021

Facebook-Werbeanzeigen Zahlung
Zahlungsmethode: PayPal
Datum,Transaktions-ID,Betrag,Währung
10.12.2020,3513742912076150-6856497,"15,63",EUR
10.11.2020,3365707450213030-6691265,"44,60",EUR
10.05.2020,2858710660912720-5777906,"16,66",EUR
10.02.2020,2678509532266170-5411257,"6,96",EUR
10.01.2020,2623137364470049-5298547,"7,89",EUR
,Gesamtrechnungsbetrag,"91,74",EUR

Facebook-Werbeanzeigen Zahlung
Zahlungsmethode: Werbegutschrift
Datum,Transaktions-ID,Betrag,Währung
13.10.2020,3304317216352056-6552481,"0,05",EUR
,Gesamtrechnungsbetrag,"0,05",EUR

USt.-Rate: 0%
"USt.-Betrag in Euro: 0,00"
"Gema Artikel 196, EC Direktive 2006/112/EC obliegt die Umsatzsteuer, die auf die Leistungen entfallt, dem Leistungsempfanger."
